IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.53.135,4,4,0.00,67.68,51.99
162.159.39.126,4,4,0.00,54.15,51.68
162.159.45.229,4,4,0.00,65.59,50.61
172.64.52.116,4,4,0.00,72.28,50.26
108.162.198.150,4,4,0.00,63.91,47.85
162.159.44.84,4,4,0.00,52.49,46.98
162.159.60.66,4,4,0.00,81.97,37.42
162.159.62.25,4,4,0.00,81.92,36.64
162.159.58.61,4,4,0.00,81.38,33.63
162.159.38.206,4,4,0.00,51.66,3.16
